gameDuration,victory,FirstBlood,Dragon,Baron,Tower,Inhibitor
1878,0,0,2,0,4,0
1544,0,1,0,0,2,0
2094,1,1,2,1,10,2
1505,0,0,1,0,1,0
1459,0,1,0,0,0,0
2154,1,1,2,1,9,1
2645,0,1,2,2,11,7
2331,1,1,3,2,9,1
2394,1,1,3,1,10,2
1992,1,1,0,0,8,1
1652,1,0,3,1,10,2
1179,0,0,0,0,0,0
1853,0,1,0,0,2,0
2285,1,1,2,1,10,3
2429,0,0,1,0,4,0
1871,0,0,0,0,4,0
2564,1,0,5,1,11,3
2971,1,0,3,1,11,5
2482,0,0,1,0,4,0
1956,0,0,1,0,2,0
2189,0,1,1,0,2,0
2116,0,1,2,1,5,0
1828,1,1,4,1,8,1
1737,0,1,0,0,4,0
1597,0,0,0,0,1,0
1160,0,0,0,0,0,0
1327,1,1,3,0,9,1
2598,0,1,2,0,8,2
2093,1,0,0,1,9,2
1788,0,0,1,0,3,0
1502,0,1,1,0,0,0
1699,0,0,1,0,2,0
2229,1,1,0,0,10,3
1135,0,1,0,0,2,0
1749,1,1,2,1,10,3
1776,1,0,0,0,7,1
1515,0,0,0,0,0,0
1902,0,1,0,0,0,0
2959,0,0,1,2,6,1
1356,1,0,2,0,11,3
1809,0,1,0,0,2,0
1221,1,1,2,0,9,1
2237,0,0,1,1,3,0
2508,1,0,5,1,10,4
1613,1,1,3,1,10,3
1905,0,0,0,0,1,0
1693,1,1,2,1,9,1
1420,0,0,0,0,0,0
2344,1,0,1,1,9,1
2119,0,0,0,0,3,0
1851,1,1,3,1,11,3
1652,0,0,1,0,2,0
1622,0,0,1,0,2,0
1520,0,0,0,0,3,0
1902,0,1,0,1,3,0
1442,1,1,3,1,11,2
1965,1,0,2,1,11,2
2039,1,1,2,0,9,2
1653,1,1,2,0,10,2
1731,0,0,0,0,1,0
924,0,0,0,0,0,0
2200,0,1,1,0,4,0
1253,0,0,0,0,0,0
1584,0,0,0,0,3,0
2265,1,0,1,0,10,4
1421,1,0,0,1,5,1
2004,1,1,3,0,6,1
1696,1,0,3,1,11,3
1560,0,0,1,0,2,0
2058,1,1,1,1,11,3
2294,0,0,0,0,4,0
1372,0,1,0,0,1,0
1078,1,1,1,0,10,2
1669,0,0,3,0,1,0
1955,0,0,0,0,2,0
1306,1,1,2,0,11,3
1591,1,1,2,1,9,2
2543,1,1,3,2,11,3
1785,1,1,3,1,9,1
1795,0,1,0,0,1,0
2375,0,1,4,1,3,0
1601,0,0,1,0,2,0
1758,0,0,1,0,4,0
1875,0,1,3,0,6,1
1643,1,0,3,0,9,2
2188,0,1,2,1,2,0
2616,0,1,1,0,6,1
1475,0,0,1,0,3,0
